rental_id,rental_date,return_date,customer_lastname,store_id,rental_store_city,film_title,film_rental_duration,film_rental_rate,film_replacement_cost,film_rating
121,2005-05-25 19:41:29,2005-05-29 21:31:29,SCHOFIELD,2,Woodridge,DISTURBING SCARFACE,6,2.99,27.99,R
122,2005-05-25 19:46:21,2005-06-02 19:07:21,LOWE,2,Woodridge,OPERATION OPERATION,7,2.99,23.99,G
123,2005-05-25 20:26:42,2005-05-26 19:41:42,ROBERTS,1,Lethbridge,GUYS FALCON,4,4.99,20.99,R
124,2005-05-25 20:46:11,2005-05-30 00:47:11,MENDOZA,1,Lethbridge,BACKLASH UNDEFEATED,3,4.99,24.99,PG-13
125,2005-05-25 20:48:50,2005-06-02 21:39:50,ARCE,1,Lethbridge,DARN FORRESTER,7,4.99,14.99,G
126,2005-05-25 21:07:59,2005-05-28 18:51:59,FENNELL,1,Lethbridge,HYDE DOCTOR,5,2.99,11.99,G
127,2005-05-25 21:10:40,2005-06-02 21:38:40,GONZALES,2,Woodridge,HUNGER ROOF,6,0.99,21.99,G
128,2005-05-25 21:19:53,2005-05-29 23:34:53,CARTER,2,Woodridge,VIDEOTAPE ARSENIC,4,4.99,10.99,NC-17
129,2005-05-25 21:20:03,2005-06-04 01:25:03,LEWIS,1,Lethbridge,TRADING PINOCCHIO,6,4.99,22.99,PG
130,2005-05-25 21:21:56,2005-05-30 22:41:56,COOK,2,Woodridge,SUSPECTS QUILLS,4,2.99,22.99,PG
131,2005-05-25 21:42:46,2005-05-30 23:25:46,BUNN,2,Woodridge,CONNECTICUT TRAMP,4,4.99,20.99,R
132,2005-05-25 21:46:54,2005-05-31 21:02:54,HITE,2,Woodridge,ROCKETEER MOTHER,3,0.99,27.99,PG-13
133,2005-05-25 21:48:30,2005-05-30 00:26:30,GILBERT,1,Lethbridge,BORROWERS BEDAZZLED,7,0.99,22.99,G
134,2005-05-25 21:48:41,2005-06-02 18:28:41,HANSEN,2,Woodridge,JUMPING WRATH,4,0.99,18.99,NC-17
135,2005-05-25 21:58:58,2005-06-03 17:50:58,ROYAL,1,Lethbridge,AMERICAN CIRCUS,3,4.99,17.99,R
136,2005-05-25 22:02:30,2005-05-31 18:06:30,ADAM,1,Lethbridge,KISS GLORY,5,4.99,11.99,PG-13
137,2005-05-25 22:25:18,2005-06-01 02:30:18,ARCHULETA,1,Lethbridge,MENAGERIE RUSHMORE,7,2.99,18.99,G
138,2005-05-25 22:48:22,2005-05-29 20:21:22,STCLAIR,1,Lethbridge,TOURIST PELICAN,4,4.99,18.99,PG-13
139,2005-05-25 23:00:21,2005-05-29 17:12:21,DOUGLAS,1,Lethbridge,BINGO TALENTED,5,2.99,22.99,PG-13
140,2005-05-25 23:34:22,2005-05-27 01:10:22,NGO,1,Lethbridge,CHICKEN HELLFIGHTERS,3,0.99,24.99,PG
141,2005-05-25 23:34:53,2005-06-02 01:57:53,FLORES,2,Woodridge,CONGENIALITY QUEST,6,0.99,21.99,PG-13
142,2005-05-25 23:43:47,2005-05-29 00:46:47,ROBINS,2,Woodridge,WATCH TRACY,5,0.99,12.99,PG
143,2005-05-25 23:45:52,2005-05-27 21:41:52,RHODES,1,Lethbridge,CRAFT OUTFIELD,6,0.99,17.99,NC-17
144,2005-05-25 23:49:56,2005-06-01 21:41:56,RICO,1,Lethbridge,GONE TROUBLE,7,2.99,20.99,R
145,2005-05-25 23:59:03,2005-05-31 02:56:03,COLEMAN,1,Lethbridge,STRANGELOVE DESIRE,4,0.99,27.99,NC-17
146,2005-05-26 00:07:11,2005-06-04 00:20:11,BONE,1,Lethbridge,FIDELITY DEVIL,5,4.99,11.99,G
147,2005-05-26 00:17:50,2005-05-29 23:21:50,JENNINGS,1,Lethbridge,CHARIOTS CONSPIRACY,5,2.99,29.99,R
148,2005-05-26 00:25:23,2005-06-01 19:29:23,BURNS,2,Woodridge,UNFORGIVEN ZOOLANDER,7,0.99,15.99,PG
149,2005-05-26 00:28:05,2005-06-02 21:30:05,WEINER,1,Lethbridge,DOOM DANCING,4,0.99,13.99,R
150,2005-05-26 00:28:39,2005-06-01 02:10:39,ISBELL,1,Lethbridge,DADDY PITTSBURGH,5,4.99,26.99,G
151,2005-05-26 00:37:28,2005-05-30 06:28:28,WHITE,1,Lethbridge,OUTBREAK DIVINE,6,0.99,12.99,NC-17
152,2005-05-26 00:41:10,2005-06-03 06:05:10,MORGAN,1,Lethbridge,MIDSUMMER GROUNDHOG,3,4.99,27.99,G
153,2005-05-26 00:47:47,2005-05-27 21:28:47,QUINTANILLA,2,Woodridge,STORM HAPPINESS,6,0.99,28.99,NC-17
154,2005-05-26 00:55:56,2005-05-29 23:18:56,HARPER,1,Lethbridge,FACTORY DRAGON,4,0.99,9.99,PG-13
155,2005-05-26 01:15:05,2005-06-01 00:03:05,BARBEE,2,Woodridge,BEHAVIOR RUNAWAY,3,4.99,20.99,PG
156,2005-05-26 01:19:05,2005-05-27 23:43:05,SHERROD,1,Lethbridge,PULP BEVERLY,4,2.99,12.99,G
157,2005-05-26 01:25:21,2005-05-26 21:17:21,BILLINGSLEY,1,Lethbridge,CRUSADE HONEY,4,2.99,27.99,R
158,2005-05-26 01:27:11,2005-06-03 00:30:11,NGO,1,Lethbridge,LIGHTS DEER,7,0.99,21.99,R
159,2005-05-26 01:34:28,2005-05-29 04:00:28,ABNEY,1,Lethbridge,SAGEBRUSH CLUELESS,4,2.99,28.99,G
160,2005-05-26 01:46:20,2005-06-01 05:45:20,CHAMBERS,2,Woodridge,HEAVEN FREEDOM,7,2.99,19.99,PG
161,2005-05-26 01:51:48,2005-05-27 05:42:48,LANE,1,Lethbridge,OUTBREAK DIVINE,6,0.99,12.99,NC-17
162,2005-05-26 02:02:05,2005-05-27 03:38:05,HALE,1,Lethbridge,EDGE KISSING,5,4.99,9.99,NC-17
163,2005-05-26 02:26:23,2005-06-04 06:36:23,GRAHAM,1,Lethbridge,KISSING DOLLS,3,4.99,9.99,R
164,2005-05-26 02:26:49,2005-05-28 00:32:49,PALMER,1,Lethbridge,DOGMA FAMILY,5,4.99,16.99,G
165,2005-05-26 02:28:36,2005-06-02 03:21:36,HILL,1,Lethbridge,MOTIONS DETAILS,5,0.99,16.99,PG
166,2005-05-26 02:49:11,2005-05-31 01:28:11,MORRISSEY,2,Woodridge,STORY SIDE,7,0.99,27.99,R
167,2005-05-26 02:50:31,2005-05-27 03:07:31,CARRANZA,2,Woodridge,CREEPERS KANE,5,4.99,23.99,NC-17
168,2005-05-26 03:07:43,2005-06-02 02:09:43,BULL,2,Woodridge,MOON BUNCH,7,0.99,20.99,PG
169,2005-05-26 03:09:30,2005-05-27 01:37:30,BOUDREAU,1,Lethbridge,GRIT CLOCKWORK,3,0.99,21.99,PG
170,2005-05-26 03:11:12,2005-06-02 03:53:12,WOODS,2,Woodridge,SLEEPY JAPANESE,4,2.99,25.99,PG
171,2005-05-26 03:14:15,2005-06-03 00:24:15,HARDISON,2,Woodridge,WITCHES PANIC,6,4.99,10.99,NC-17
172,2005-05-26 03:17:42,2005-05-29 04:11:42,CARROLL,2,Woodridge,NOTTING SPEAKEASY,7,0.99,19.99,PG-13
173,2005-05-26 03:42:10,2005-05-28 01:37:10,MILAM,1,Lethbridge,SHEPHERD MIDSUMMER,7,0.99,14.99,R
174,2005-05-26 03:44:10,2005-05-28 07:13:10,WALDROP,2,Woodridge,SUMMER SCARFACE,5,0.99,25.99,G
175,2005-05-26 03:46:26,2005-06-03 06:01:26,PARKER,1,Lethbridge,VISION TORQUE,5,0.99,16.99,PG-13
176,2005-05-26 03:47:39,2005-06-01 02:36:39,FOWLER,2,Woodridge,CRANES RESERVOIR,5,2.99,12.99,NC-17
177,2005-05-26 04:14:29,2005-06-01 08:16:29,CORNISH,1,Lethbridge,SEATTLE EXPECATIONS,4,4.99,18.99,PG-13
178,2005-05-26 04:21:46,2005-06-04 07:09:46,AUSTIN,2,Woodridge,FLYING HOOK,6,2.99,18.99,NC-17
179,2005-05-26 04:26:06,2005-06-03 10:06:06,MARTINEZ,2,Woodridge,MASSACRE USUAL,6,4.99,16.99,R
180,2005-05-26 04:46:23,2005-06-01 09:58:23,SANDERS,2,Woodridge,MOVIE SHAKESPEARE,6,4.99,27.99,PG
181,2005-05-26 04:47:06,2005-05-29 06:34:06,STANFIELD,2,Woodridge,LOLA AGENT,4,4.99,24.99,PG
182,2005-05-26 04:49:17,2005-06-01 05:43:17,GILBERT,1,Lethbridge,WASH HEAVENLY,7,4.99,22.99,R
183,2005-05-26 05:01:18,2005-06-01 09:04:18,SILVA,1,Lethbridge,NOVOCAINE FLIGHT,4,0.99,11.99,G
184,2005-05-26 05:29:49,2005-05-28 10:10:49,GRUBER,2,Woodridge,HONEY TIES,3,0.99,29.99,R
185,2005-05-26 05:30:03,2005-06-02 09:48:03,WEBB,1,Lethbridge,METAL ARMAGEDDON,6,2.99,26.99,PG-13
186,2005-05-26 05:32:52,2005-06-03 07:19:52,CARY,1,Lethbridge,HALF OUTFIELD,6,2.99,25.99,PG-13
187,2005-05-26 05:42:37,2005-06-04 00:38:37,RAPP,2,Woodridge,SWEET BROTHERHOOD,3,2.99,27.99,R
188,2005-05-26 05:47:12,2005-05-26 23:48:12,BURKE,2,Woodridge,ROAD ROXANNE,4,4.99,12.99,R
189,2005-05-26 06:01:41,2005-05-27 06:11:41,MORENO,1,Lethbridge,DEEP CRUSADE,6,4.99,20.99,PG-13
190,2005-05-26 06:11:28,2005-06-01 09:44:28,MILAM,2,Woodridge,SUN CONFESSIONS,5,0.99,9.99,R
191,2005-05-26 06:14:06,2005-05-28 05:33:06,BUTTERFIELD,2,Woodridge,VOYAGE LEGALLY,6,0.99,28.99,PG-13
192,2005-05-26 06:20:37,2005-06-02 10:57:37,NEUMANN,1,Lethbridge,HEDWIG ALTER,7,2.99,16.99,NC-17
193,2005-05-26 06:41:48,2005-05-30 06:21:48,CURTIS,2,Woodridge,STRAIGHT HOURS,3,0.99,19.99,R
194,2005-05-26 06:52:33,2005-05-30 04:08:33,HERNANDEZ,1,Lethbridge,EXPENDABLE STALLION,3,0.99,14.99,PG
195,2005-05-26 06:52:36,2005-05-31 02:47:36,PFEIFFER,2,Woodridge,CALENDAR GUNFIGHT,4,4.99,22.99,NC-17
196,2005-05-26 06:55:58,2005-05-27 10:54:58,RUIZ,1,Lethbridge,ATLANTIS CAUSE,6,2.99,15.99,G
197,2005-05-26 06:59:21,2005-06-03 05:04:21,KNOTT,2,Woodridge,TRUMAN CRAZY,7,4.99,9.99,G
198,2005-05-26 07:03:49,2005-06-04 11:45:49,ROGERS,2,Woodridge,GUNFIGHT MOON,5,0.99,16.99,NC-17
199,2005-05-26 07:11:58,2005-05-28 09:06:58,JAMES,1,Lethbridge,INSIDER ARIZONA,5,2.99,17.99,NC-17
200,2005-05-26 07:12:21,2005-05-31 12:07:21,SCHULER,2,Woodridge,STREETCAR INTENTIONS,5,4.99,11.99,R
201,2005-05-26 07:13:45,2005-06-04 02:02:45,HIDALGO,2,Woodridge,COMFORTS RUSH,3,2.99,19.99,NC-17
202,2005-05-26 07:27:36,2005-06-02 03:52:36,ROBINSON,1,Lethbridge,CHOCOLAT HARRY,5,0.99,16.99,NC-17
203,2005-05-26 07:27:57,2005-06-03 12:52:57,WEST,2,Woodridge,ROLLERCOASTER BRINGING,5,2.99,13.99,PG-13
204,2005-05-26 07:30:37,2005-05-30 08:11:37,HERZOG,1,Lethbridge,HAROLD FRENCH,6,0.99,10.99,NC-17
